"","X1","X2","MeanDecreaseAccuracy","MeanDecreaseGini"
"Cyanothecaceae",0.445819420390443,-0.809809787462971,-0.184949850107309,0.114583271395521
"Oscillatoriaceae",3.96498763480486,0.761017184693108,3.21581841678607,0.138859260513154
"Hyellaceae",-1.75741454339115,-1.31969666323345,-1.93079344725335,0.0282299354832377
"Spiroplasmataceae",1.11805694698763,-0.679274228563477,0.293820759885783,0.134599033164003
"Entomoplasmataceae",0.988452135909268,-1.45209654221639,-0.404169254183392,0.142618501632444
"Mycoplasmataceae",0.131063598318042,-2.23179606667346,-1.1647804032209,0.169128250764878
"Acholeplasmataceae",1.50316444657196,0.477256469797951,1.27281690217696,0.0918490238230391
"Deinococcaceae",-0.0379815935355769,-1.75914285721205,-1.08728562546744,0.125685054387816
"Thermaceae",3.76187837635018,0.0538074765047127,2.84036200668766,0.100428936802867
"Ardenticatenaceae",2.32100813151432,-1.47277334223532,0.713293934462967,0.060795349758052
"Flavobacteriaceae",-1.87998913642993,0.14010382341083,-1.30549406295944,0.21336157579414
"Ichthyobacteriaceae",-0.559868018483676,-1.85214456087685,-1.72005493456079,0.0632907771113245
"Tannerellaceae",-1.18294334025182,-3.52824570038994,-2.73477340304724,0.0742555374146406
"Porphyromonadaceae",-0.895500374026184,-0.640998894837284,-0.754582194461592,0.0826629513991498
"Prevotellaceae",0.863543027758438,0.264866079071693,0.865966089338847,0.127611629665751
"Bacteroidaceae",1.34208656718888,-2.38135540517182,-0.790219553762657,0.165748199548741
"Rikenellaceae",-2.8076376368331,-2.588405795438,-3.5139278823036,0.0919516719466043
"Marinifilaceae",-2.0001598056001,-3.23252201990004,-3.52020115018674,0.0325685467202881
"Cytophagaceae",-0.423403865682251,-1.98048896565196,-1.42383711714593,0.192472175276116
"Hymenobacteraceae",0.939191220086067,0.167136429250396,0.638318482420572,0.171234950537209
"Persicobacteraceae",-3.58231681539591,-0.414198431758432,-2.50366828984401,0.0656551730209627
"Sphingobacteriaceae",-1.05084097942464,-1.30740588754229,-1.28852519242868,0.172435662826481
"Chitinophagaceae",-0.463811898289961,-1.76836087195015,-1.52375728688144,0.190231223416267
"Haliscomenobacteraceae",-2.01056690639457,-0.110559543531381,-1.3597472550258,0.0611910419835655
"Leptotrichiaceae",-1.1315823455327,-0.606099552951279,-1.12283915696949,0.0933189961516004
"Fusobacteriaceae",-0.391428917863026,-0.637262200814995,-0.792148275806831,0.152494898636798
"Planctomycetaceae",2.91188526895554,-1.16479339161592,1.91706033469813,0.139774332374376
"Isosphaeraceae",0.6551558589751,-1.32232301896565,-0.181492010787784,0.07847319538518
"Candidatus.Brocadiaceae",-0.5123194787003,-1.64819265591255,-1.12847082223222,0.0334986358804045
"Opitutaceae",1.86691593884522,0.321986288061562,1.48467058824522,0.111634792367262
